# schizophrenia 段階0 の中間検証用の候補リスト（1000 遺伝子）
# 作成 2026-09-18。順序は下の構成の順（段階0 は並びに依存しない）。
#   1. 正解 11: C4A, GRIN2A, GRM3, DRD2, DRD3, CHRM1, CHRM3, CHRM4, COMT, GAD1, SLC6A3
#      Open Targets（MONDO_0005090）: DRD2 0.733 / DRD3 0.672 / GRIN2A 0.588 / GRM3 0.579 / CHRM3 0.489 / CHRM4 0.459 /
#      CHRM1 0.431 / SLC6A3 0.424 / COMT 0.240 / GAD1 0.120 / C4A 0.088（文献のみ）。CHRM1・CHRM4 は xanomeline（ChEMBL: M1/M4 作動薬）
#   2. 同族デコイ 50: 正解と同じ系統（ムスカリン・ニコチン・グルタミン酸・ドパミン・セロトニン・アドレナリン受容体、
#      SLC6A、GABA-A、補体）の正式記号のうち Open Targets < 0.1 の 55 個から seed=0 で 50
#   3. Open Targets 関連スコア上位 100
#   ここまで重複を除いて 153 件。残り 847 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名
C4A		Complement C4-A	CO4,CPAMD2
SNRNP200		U5 small nuclear ribonucleoprotein 200 kDa helicase	ASCC3L1,BRR2,HELIC2
CTAGE9		cTAGE family member 9	
ST6GALNAC1		Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	SIAT7A
RNF145		RING finger protein 145	
PCBP2		Poly(rC)-binding protein 2	
ST6GALNAC6		Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	SIAT7F
APOL2		Apolipoprotein L2	
AP3D1		AP-3 complex subunit delta-1	
CHD3		ATP-dependent chromatin remodeler CHD3	
MORC1		MORC family CW-type zinc finger protein 1	MORC
ACY3		N-acyl-aromatic-L-amino acid amidohydrolase	ASPA2
SPRR2E		Small proline-rich protein 2E	
RSAD2		S-adenosylmethionine-dependent nucleotide dehydratase RSAD2	CIG5
ZC3H12A		Endoribonuclease ZC3H12A	MCPIP,MCPIP1
AGAP5		Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5	CTGLF2
OC90		Otoconin-90	PLA2L
NXN		Nucleoredoxin	NRX
TCL1A		T-cell leukemia/lymphoma protein 1A	TCL1
ADD1		Alpha-adducin	ADDA
ATOSA		Atos homolog protein A	FAM214A
NPAS3		Neuronal PAS domain-containing protein 3	BHLHE12,MOP6,PASD6
RHOF		Rho-related GTP-binding protein RhoF	ARHF,RIF
TNFRSF1A		Tumor necrosis factor receptor superfamily member 1A	TNFAR,TNFR1
MEA1		Male-enhanced antigen 1	MEA
OR6F1		Olfactory receptor 6F1	
FUT2		Galactoside alpha-(1,2)-fucosyltransferase 2	SEC2
CLEC5A		C-type lectin domain family 5 member A	CLECSF5,MDL1
KCTD17		BTB/POZ domain-containing protein KCTD17	
SLC60A2		Solute carrier family 60 member 2	MFSD4B,NAGLT1
NPVF		Pro-FMRFamide-related neuropeptide VF	C7orf9,RFRP
