# congenital adrenal hyperplasia デモ用の候補リスト（1000 遺伝子）— メカニズム形式（any of these steps）の検証用
# 作成 2026-09-15。順序は下の構成の順（段階 0 以降は並びに依存しない）。
#   1. 正解 3: CYP21A2（原因、Open Targets 0.853・遺伝学 0.96）、
#      CRHR1（crinecerfont、ChEMBL CHEMBL291657 CRF1 受容体拮抗薬、NCT04490915）、
#      MC2R（atumelnant、NCT05907291 の登録に「MC2R antagonist」）
#   2. 別の病型の原因 6: CYP11B1, CYP17A1, POR, STAR, HSD3B2, CYP11A1（Open Targets 遺伝学 0.77〜0.95）
#   3. メカニズム関連 10（UniProt 機能で確認）
#      フィードバック: NR3C1, CRH, POMC ／ ACTH 受容体の補助: MRAP ／ アンドロゲン合成: HSD17B3, AKR1C3
#      アンドロゲン作用: AR, SRD5A2 ／ アルドステロン: CYP11B2, NR3C2
#   4. 同族デコイ 50: CYP 系のうちステロイド合成の 6 個を除き、Open Targets（MONDO_0018479）< 0.1
#   5. Open Targets 関連スコア上位 100（候補表に無い TNXA は除外）
#   ここまで重複を除いて 152 件。残り 848 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名（UniProt Gene Names、カンマ区切り、最大4）
CT47A11		Cancer/testis antigen 47A	CT47A1,CT47.1;,CT47A2,CT47.2;
ZNF696		Zinc finger protein 696	
RNF185		E3 ubiquitin-protein ligase RNF185	
PCDHG@			
OR11G2		Olfactory receptor 11G2	
APOL3		Apolipoprotein L3	
AP3M1		AP-3 complex subunit mu-1	
CHCHD2		Coiled-coil-helix-coiled-coil-helix domain-containing protein 2	C7orf17,AAG10
SYNRG		Synergin gamma	AP1GBP1,SYNG
ACYP2		Acylphosphatase-2	ACYP
TRNP1		TMF-regulated nuclear protein 1	C1orf225,TRNP
NCBP2		Nuclear cap-binding protein subunit 2	CBP20,PIG55
ZC3H13		Zinc finger CCCH domain-containing protein 13	
AGAP4		Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4	AGAP8,CTGLF1,CTGLF5,MRIP2
OGA		Protein O-GlcNAcase	HEXC,MEA5,MGEA5
MYBPC1		Myosin-binding protein C, slow-type	MYBPCS
TCIRG1		V-type proton ATPase 116 kDa subunit a 3	ATP6N1C,ATP6V0A3
ADD3		Gamma-adducin	ADDL
ATP10A		Phospholipid-transporting ATPase VA	ATP10C,ATPVA,ATPVC
PSG6		Pregnancy-specific beta-1-glycoprotein 6	CGM3,PSG10,PSG12,PSGGB
NDUFB3		NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	
REEP2		Receptor expression-enhancing protein 2	C5orf19,SGC32445
PTGDR		Prostaglandin D2 receptor	
OR7D2		Olfactory receptor 7D2	
G6PC2		Glucose-6-phosphatase 2	IGRP
CLEC17A		C-type lectin domain family 17, member A	
SERTM2		Serine-rich and transmembrane domain-containing protein 2	
SLC6A15		Sodium-dependent neutral amino acid transporter B(0)AT2	B0AT2,NTT73,SBAT1
SPATA31H1		Spermatogenesis-associated protein 31H1	C2orf16
CYRIA		CYFIP-related Rac1 interactor A	FAM49A
PLEKHS1		Pleckstrin homology domain-containing family S member 1	C10orf81
PANK2		Pantothenate kinase 2, mitochondrial	C20orf48
SH3GLB1		Endophilin-B1	
EVA1C		Protein eva-1 homolog C	C21orf63,C21orf64,FAM176C,PRED34
TMEM185B		Transmembrane protein 185B	FAM11B
DKK1		Dickkopf-related protein 1	
FAM246C		Protein FAM246C	
NFIL3		Nuclear factor interleukin-3-regulated protein	E4BP4,IL3BP1
RGL1		Ral guanine nucleotide dissociation stimulator-like 1	RGL
ENTPD5		Nucleoside diphosphate phosphatase ENTPD5	CD39L4,PCPH
FAM133A		Protein FAM133A	
OCM2		Oncomodulin-2	OCMN
HNF4A		Hepatocyte nuclear factor 4-alpha	HNF4,NR2A1,TCF14
CNTNAP4		Contactin-associated protein-like 4	CASPR4
L3MBTL3		Lethal(3)malignant brain tumor-like protein 3	MBT1
OR5M10		Olfactory receptor 5M10	
RAB8B		Ras-related protein Rab-8B	
TPM2		Tropomyosin beta chain	TMSB
FGF21		Fibroblast growth factor 21	
MINDY4B		Inactive ubiquitin carboxyl-terminal hydrolase MINDY-4B	C3orf76,FAM188B2
NPIPB6		Nuclear pore complex-interacting protein family member B6	
ZBTB7A		Zinc finger and BTB domain-containing protein 7A	FBI1,LRF,ZBTB7,ZNF857A
MDM2		E3 ubiquitin-protein ligase Mdm2	
APEH		Acylamino-acid-releasing enzyme	D3F15S2,D3S48E,DNF15S2
HBA1			
CRYGC		Gamma-crystallin C	CRYG3
GIMD1		GTPase IMAP family member GIMD1	
MTCP1		Protein p13 MTCP-1	C6.1B
CTSO		Cathepsin O	CTSO1
SMARCD1		SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	BAF60A
MARCHF11		E3 ubiquitin-protein ligase MARCHF11	MARCH11
SHLD3		Shieldin complex subunit 3	RINN1
RBBP8NL		RBBP8 N-terminal-like protein	C20orf151
SERPINB5		Serpin B5	PI5
DPRX		Divergent paired-related homeobox	
PERM1		PGC-1 and ERR-induced regulator in muscle protein 1	C1orf170
NAA15		N-alpha-acetyltransferase 15, NatA auxiliary subunit	GA19,NARG1,NATH,TBDN100
RGPD5		RANBP2-like and GRIP domain-containing protein 5/6	RANBP2L1,RGP5,RGP7,RGPD7;
RAVER1		Ribonucleoprotein PTB-binding 1	
CD48		CD48 antigen	BCM1,BLAST1
CSNK1D		Casein kinase I isoform delta	HCKID
KIF11		Kinesin-like protein KIF11	EG5,KNSL1,TRIP5
TNRC6C		Trinucleotide repeat-containing gene 6C protein	
RGS12		Regulator of G protein signaling 12	
ALOXE3		Hydroperoxide isomerase ALOXE3	
FAM124A		Protein FAM124A	
PROS1		Vitamin K-dependent protein S	PROS
DCAF4L1		DDB1- and CUL4-associated factor 4-like protein 1	WDR21B
LIPI		Lipase member I	LPDL,PRED5
CPNE8		Copine-8	
LEKR1		Protein LEKR1	
HYCC2		Hyccin 2	FAM126B
BEND2		BEN domain-containing protein 2	CXorf20
CCNYL1B		Cyclin-Y-like protein 1B	
TAS2R45		Taste receptor type 2 member 45	GPR59
INSL5		Insulin-like peptide INSL5	
NPAS4		Neuronal PAS domain-containing protein 4	BHLHE79,NXF,PASD10
TPRX2		Tetrapeptide repeat homeobox protein 2	
CD163L1		Scavenger receptor cysteine-rich type 1 protein M160	CD163B,M160
WRN		Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN	RECQ3,RECQL2
CCR8		C-C chemokine receptor type 8	CKRL1,CMKBR8,CMKBRL2
WDR81		WD repeat-containing protein 81	
LAMA4		Laminin subunit alpha-4	
FAM180A		Protein FAM180A	
ELOVL2		Very long chain fatty acid elongase 2	ELG3,SSC2
PDAP1		28 kDa heat- and acid-stable phosphoprotein	HASPP28
DSE		Dermatan-sulfate epimerase	SART2
C12orf54		Uncharacterized protein C12orf54	HSD-29,HSD-30,HSD29,HSD30
CCRL2		C-C chemokine receptor-like 2	CCR11,CCR6,CKRX,CRAM
CAPN8		Calpain-8	NCL2
JRKL		Jerky protein homolog-like	
MAPK8		Mitogen-activated protein kinase 8	JNK1,PRKM8,SAPK1,SAPK1C
PRSS53		Serine protease 53	
C12orf57		Protein C10	C10
PPP1CC		Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	
TMEM221		Transmembrane protein 221	
GATAD2A		Transcriptional repressor p66-alpha	
OR2Y1		Olfactory receptor 2Y1	
MRPL18		Large ribosomal subunit protein uL18m	
CEP170B		Centrosomal protein of 170 kDa protein B	FAM68C
TESK2		Dual specificity testis-specific protein kinase 2	
RFWD3		E3 ubiquitin-protein ligase RFWD3	RNF201
MIIP		Migration and invasion-inhibitory protein	IIP45
GRINA		Protein lifeguard 1	LFG1,NMDARA1,TMBIM3
DDX11		ATP-dependent DNA helicase DDX11	CHL1,CHLR1,KRG2
CCKBR		Gastrin/cholecystokinin type B receptor	CCKRB
OR5B17		Olfactory receptor 5B17	OR5B20P
HDAC4		Histone deacetylase 4	
OR52K2		Olfactory receptor 52K2	
BCL2		Apoptosis regulator Bcl-2	
HNRNPH2		Heterogeneous nuclear ribonucleoprotein H2	FTP3,HNRPH2
CACNB3		Voltage-dependent L-type calcium channel subunit beta-3	CACNLB3
TEKT3		Tektin-3	
